CHUNK_ID,TREE_ID,PLOT_ID,SPCD,STATUSCD,DIA,HT,CR,X,Y,ROW_CHUNK,COL_CHUNK
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018744.9681246297,2476230.325378317,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018737.5119342583,2476220.281902131,0,0
0_0,104928,3150,64,1,44.45,9.144,0.85,-2018645.174830999,2476155.254822071,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018651.615629989,2476130.6586170783,0,0
0_0,104921,3150,64,1,20.573999999999998,3.9624,0.99,-2018655.6569410453,2476131.86507668,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018650.7028031924,2476142.1292465613,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018651.1718491185,2476142.612472897,0,0
0_0,104927,3150,64,1,22.86,4.572,0.95,-2018654.9428115499,2476141.1063548517,0,0
0_0,104922,3150,64,1,19.812,3.9624,0.1,-2018644.8692396292,2476131.0042474717,0,0
0_0,104923,3150,64,1,19.304,4.572,0.6,-2018642.245822023,2476132.2125281193,0,0
0_0,104923,3150,64,1,19.304,4.572,0.6,-2018642.5610893657,2476136.212762968,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018645.4914891687,2476155.161162621,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018642.2735737974,2476129.7750641876,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018656.9334019087,2476144.234871503,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018654.8449764792,2476134.375072952,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018733.5139428508,2476231.7951864693,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018736.953533779,2476228.1499392786,0,0
0_0,140569,4145,122,1,5.08,2.4384,0.15,-2019235.79286847,2476492.5256644017,0,0
0_0,140570,4145,122,1,4.572,2.1336,0.1,-2019248.7736678626,2476345.817931764,0,0
0_0,140570,4145,122,1,4.572,2.1336,0.1,-2019243.3441855013,2476348.606922327,0,0
0_0,140575,4145,122,1,30.988,17.9832,0.8,-2019265.7771302985,2476416.982182648,0,0
0_0,140566,4145,122,1,24.384,13.1064,0.8,-2019263.137093071,2476426.5476216115,0,0
0_0,140568,4145,122,1,25.654,15.8496,0.7,-2019295.123111749,2476476.104663847,0,0
0_0,140570,4145,122,1,4.572,2.1336,0.1,-2019270.58750887,2476403.2534477925,0,0
0_0,140569,4145,122,1,5.08,2.4384,0.15,-2019265.1625770798,2476503.3908624416,0,0
0_0,140570,4145,122,1,4.572,2.1336,0.1,-2019227.0387937054,2476499.586941611,0,0
