CHUNK_ID,TREE_ID,PLOT_ID,SPCD,STATUSCD,DIA,HT,CR,X,Y,ROW_CHUNK,COL_CHUNK
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018481.1199782158,2476464.078510609,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018486.097680933,2476468.214275968,0,0
0_0,104922,3150,64,1,19.812,3.9624,0.1,-2018490.4717397334,2476472.976800542,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018486.886226494,2476461.0115343113,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018489.7118272863,2476459.060321911,0,0
0_0,104926,3150,64,1,19.304,5.7912,0.8,-2018637.404908586,2476146.910817881,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018641.4262463578,2476154.635091164,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018638.122062451,2476152.7563000484,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018634.8939856444,2476152.759523694,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018636.650922594,2476145.0816478776,0,0
0_0,104921,3150,64,1,20.573999999999998,3.9624,0.99,-2018788.0587983865,2476061.7333946945,0,0
0_0,104930,3150,64,1,61.722,6.096,0.8,-2018787.7917626838,2476054.4659408834,0,0
0_0,104926,3150,64,1,19.304,5.7912,0.8,-2018787.8369292954,2476062.434479083,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018779.4531968427,2476062.5762745184,0,0
0_0,104927,3150,64,1,22.86,4.572,0.95,-2018808.433382402,2476066.582425779,0,0
0_0,104927,3150,64,1,22.86,4.572,0.95,-2018807.4015039871,2476058.433759437,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018803.7435352795,2476042.5557114696,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018802.3264692468,2476049.0287997806,0,0
0_0,104925,3150,122,1,41.147999999999996,7.62,0.6,-2018795.726899561,2476041.2652857653,0,0
0_0,104928,3150,64,1,44.45,9.144,0.85,-2018808.9536301594,2476046.5616284977,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018800.6115494212,2476043.4548664903,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018795.3085568068,2476040.4197092713,0,0
0_0,104923,3150,64,1,19.304,4.572,0.6,-2018801.7802208366,2476049.3197661266,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018787.398200343,2476052.3946749163,0,0
0_0,104925,3150,122,1,41.147999999999996,7.62,0.6,-2018782.4548375704,2476050.6444076807,0,0
0_0,104923,3150,64,1,19.304,4.572,0.6,-2018783.2280139215,2476042.202115248,0,0
0_0,104930,3150,64,1,61.722,6.096,0.8,-2018629.8774573945,2476150.1815124643,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018643.0075931102,2476146.413989924,0,0
0_0,104922,3150,64,1,19.812,3.9624,0.1,-2018640.820026411,2476154.489609119,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018645.1044786742,2476151.0145949423,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018627.928890522,2476147.578629399,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018646.1040830787,2476142.3955098456,0,0
0_0,104926,3150,64,1,19.304,5.7912,0.8,-2018651.72989932,2476134.85519516,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018649.7071267806,2476131.223659046,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018658.3484243106,2476132.7182555594,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018654.4266436489,2476141.5490894937,0,0
0_0,104922,3150,64,1,19.812,3.9624,0.1,-2018655.0102893224,2476142.174771388,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018644.250628533,2476136.8403934655,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018644.8500672483,2476138.9041642123,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018641.5932028093,2476140.4642886217,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018629.3563907759,2476135.3425990622,0,0
0_0,104921,3150,64,1,20.573999999999998,3.9624,0.99,-2018640.0801350395,2476143.9474431914,0,0
0_0,104923,3150,64,1,19.304,4.572,0.6,-2018643.043879384,2476136.115423107,0,0
0_0,104927,3150,64,1,22.86,4.572,0.95,-2018642.8976111608,2476130.717771562,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018640.5034152109,2476130.3132389947,0,0
0_0,104924,3150,64,1,12.446000000000002,4.572,0.55,-2018637.7432994759,2476143.518562657,0,0
